Day,Consumed,Net_Tons,,Pile,Total_Actual,Avg_Daily
2025-12-01,1125310,562.655000,,097,8182750,282163.79
2025-12-02,1882740,941.370000,,098,3704150,127729.31
2025-12-03,2338370,1169.185000,,099,10286450,354705.17
2025-12-04,2234330,1117.165000,,144,305600,10537.93
2025-12-05,2979820,1489.910000,,147,2860450,98636.21
2025-12-06,3201410,1600.705000,,154,661700,22817.24
2025-12-07,3128990,1564.495000,,172,15800,544.83
2025-12-08,1973220,986.610000,,175,643700,22196.55
2025-12-09,1718770,859.385000,,17E,91500,3155.17
2025-12-10,2856620,1428.310000,,20M,994750,34301.72
2025-12-11,2830200,1415.100000,,247,1437050,49553.45
2025-12-12,3135480,1567.740000,,254,31550,1087.93
2025-12-13,3100020,1550.010000,,260,16250,560.34
2025-12-14,2009190,1004.595000,,281,5210950,179687.93
2025-12-15,2841960,1420.980000,,289,3424880,118099.31
2025-12-16,2990770,1495.385000,,291,16700,575.86
2025-12-17,2039400,1019.700000,,312,181400,6255.17
2025-12-18,3076960,1538.480000,,321,122350,4218.97
2025-12-19,2949690,1474.845000,,361,301950,10412.07
2025-12-20,3124500,1562.250000,,370,30600,1055.17
2025-12-21,2944360,1472.180000,,383,270500,9327.59
2025-12-22,2735310,1367.655000,,384,14950,515.52
2025-12-23,1202950,601.475000,,38C,0,0.00
2025-12-26,2845400,1422.700000,,401,3293450,113567.24
2025-12-27,2498140,1249.070000,,408,2336250,80560.34
2025-12-28,2656250,1328.125000,,417,973450,33567.24
2025-12-29,2608620,1304.310000,,41B,606400,20910.34
2025-12-30,1959250,979.625000,,41X,919030,31690.69
2025-12-31,3221390,1610.695000,,433,1180800,40717.24
,,,,443,1430890,49341.03
,,,,444,1135030,39138.97
,,,,445,1375790,47441.03
,,,,446,8433860,290822.76
,,,,493,23050,794.83
,,,,504,2660400,91737.93
,,,,505,267100,9210.34
,,,,518,26000,896.55
,,,,525,619380,21357.93
,,,,589,13500,465.52
,,,,59W,51950,1791.38
,,,,606,1380950,47618.97
,,,,612,335200,11558.62
,,,,629,30050,1036.21
,,,,645,298700,10300.00
,,,,659,243300,8389.66
,,,,736,477900,16479.31
,,,,783,31750,1094.83
,,,,816,14450,498.28
,,,,823,44400,1531.03
,,,,82B,45150,1556.90
,,,,833,38100,1313.79
,,,,864,1482830,51132.07
,,,,907,174050,6001.72
,,,,914,77100,2658.62
,,,,922,60800,2096.55
,,,,923,62300,2148.28
,,,,943,1540700,53127.59
,,,,952,153700,5300.00
,,,,984,3565680,122954.48
